subcategory_id,subcategory
subcat1,video games
subcat2,indie rock
subcat3,electric music
subcat4,fiction
subcat5,world music
subcat6,documentary
subcat7,food trucks
subcat8,plays
subcat9,rock
subcat10,nonfiction
subcat11,metal
subcat12,jazz
subcat13,radio & podcasts
subcat14,audio
subcat15,television
subcat16,wearables
subcat17,drama
subcat18,web
subcat19,photography books
subcat20,animation
subcat21,translations
subcat22,shorts
subcat23,science fiction
subcat24,mobile games
